t,pL_tx,pL_ty,pL_tz,pR_tx,pR_ty,pR_tz,ik_err_L,ik_err_R,ik_ok_L,ik_ok_R,left_hip1_joint,left_hip2_joint,left_thigh_joint,left_knee_joint,left_ankle_joint,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.000000,-0.000420000,-0.056584518,0.034888271,-0.310851000,-0.056584518,0.034888271,0.000000000e+00,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.002500,-0.000420000,-0.056584518,0.034888586,-0.310851000,-0.056584518,0.034888271,3.144529839e-07,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.005000,-0.000420000,-0.056584518,0.034890461,-0.310851000,-0.056584518,0.034888271,2.189277548e-06,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.007500,-0.000420000,-0.056584518,0.034895081,-0.310851000,-0.056584518,0.034888271,6.809650958e-06,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.010000,-0.000420000,-0.056584518,0.034903499,-0.310851000,-0.056584518,0.034888271,1.522751980e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.012500,-0.000420000,-0.056584518,0.034916687,-0.310851000,-0.056584518,0.034888271,2.841583205e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.015000,-0.000420000,-0.056584518,0.034935560,-0.310851000,-0.056584518,0.034888271,4.728879893e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.017500,-0.000420000,-0.056584518,0.034960983,-0.310851000,-0.056584518,0.034888271,7.271213376e-05,0.000000000e+00,1,1,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.020000,-0.000420000,-0.056584518,0.034993780,-0.310851000,-0.056584518,0.034888271,4.530744497e-05,0.000000000e+00,1,1,0.300283255,-0.000000063,0.000000184,-0.800578417,0.500234092,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.022500,-0.000420000,-0.056584518,0.035034734,-0.310851000,-0.056584518,0.034888271,8.626082048e-05,0.000000000e+00,1,1,0.300283255,-0.000000063,0.000000184,-0.800578417,0.500234092,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.025000,-0.000420000,-0.056584518,0.035084593,-0.310851000,-0.056584518,0.034888271,5.847673681e-05,0.000000000e+00,1,1,0.300648743,-0.000000146,0.000000420,-0.801323956,0.500535673,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.027500,-0.000420000,-0.056584518,0.035144066,-0.310851000,-0.056584518,0.034888271,5.072157558e-05,0.000000000e+00,1,1,0.300965331,-0.000000220,0.000000623,-0.801969084,0.500796442,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.030000,-0.000420000,-0.056584518,0.035213832,-0.310851000,-0.056584518,0.034888271,5.184433858e-05,0.000000000e+00,1,1,0.301288387,-0.000000296,0.000000831,-0.802627322,0.501062277,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.032500,-0.000420000,-0.056584518,0.035294532,-0.310851000,-0.056584518,0.034888271,5.705126688e-05,0.000000000e+00,1,1,0.301643377,-0.000000380,0.000001060,-0.803350700,0.501354143,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.035000,-0.000420000,-0.056584518,0.035386772,-0.310851000,-0.056584518,0.034888271,6.427209906e-05,0.000000000e+00,1,1,0.302042810,-0.000000474,0.000001317,-0.804164695,0.501682232,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.037500,-0.000420000,-0.056584518,0.035491128,-0.310851000,-0.056584518,0.034888271,7.260398556e-05,0.000000000e+00,1,1,0.302493515,-0.000000580,0.000001608,-0.805083187,0.502052016,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.040000,-0.000420000,-0.056584518,0.035608136,-0.310851000,-0.056584518,0.034888271,8.164447273e-05,0.000000000e+00,1,1,0.302999770,-0.000000700,0.000001934,-0.806114858,0.502466833,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.042500,-0.000420000,-0.056584518,0.035738302,-0.310851000,-0.056584518,0.034888271,9.120547669e-05,0.000000000e+00,1,1,0.303564645,-0.000000834,0.000002297,-0.807265937,0.502928997,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.045000,-0.000420000,-0.056584518,0.035882093,-0.310851000,-0.056584518,0.034888271,4.392619000e-05,0.000000000e+00,1,1,0.304459153,-0.000001052,0.000002872,-0.809086930,0.503658603,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.047500,-0.000420000,-0.056584518,0.036039943,-0.310851000,-0.056584518,0.034888271,8.704489876e-05,0.000000000e+00,1,1,0.304994782,-0.000001179,0.000003217,-0.810178526,0.504094969,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.050000,-0.000420000,-0.056584518,0.036212249,-0.310851000,-0.056584518,0.034888271,4.861190139e-05,0.000000000e+00,1,1,0.305978037,-0.000001419,0.000003849,-0.812180600,0.504893594,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.052500,-0.000420000,-0.056584518,0.036399372,-0.310851000,-0.056584518,0.034888271,4.441768507e-05,0.000000000e+00,1,1,0.306868939,-0.000001638,0.000004422,-0.813994563,0.505614929,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.055000,-0.000420000,-0.056584518,0.036601638,-0.310851000,-0.056584518,0.034888271,4.655707111e-05,0.000000000e+00,1,1,0.307798932,-0.000001866,0.000005021,-0.815888361,0.506365884,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.057500,-0.000420000,-0.056584518,0.036819333,-0.310851000,-0.056584518,0.034888271,4.991349665e-05,0.000000000e+00,1,1,0.308792957,-0.000002111,0.000005660,-0.817912518,0.507166210,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.060000,-0.000420000,-0.056584518,0.037052708,-0.310851000,-0.056584518,0.034888271,5.354284483e-05,0.000000000e+00,1,1,0.309856198,-0.000002374,0.000006345,-0.820077468,0.508019571,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.062500,-0.000420000,-0.056584518,0.037301976,-0.310851000,-0.056584518,0.034888271,5.726491538e-05,0.000000000e+00,1,1,0.310990036,-0.000002657,0.000007075,-0.822385962,0.508926513,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.065000,-0.000420000,-0.056584518,0.037567313,-0.310851000,-0.056584518,0.034888271,6.103926269e-05,0.000000000e+00,1,1,0.312194985,-0.000002960,0.000007850,-0.824839001,0.509886846,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.067500,-0.000420000,-0.056584518,0.037848855,-0.310851000,-0.056584518,0.034888271,6.485096222e-05,0.000000000e+00,1,1,0.313471230,-0.000003283,0.000008672,-0.827436918,0.510900076,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.070000,-0.000420000,-0.056584518,0.038146701,-0.310851000,-0.056584518,0.034888271,6.868972795e-05,0.000000000e+00,1,1,0.314818730,-0.000003628,0.000009540,-0.830179580,0.511965492,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.072500,-0.000420000,-0.056584518,0.038460912,-0.310851000,-0.056584518,0.034888271,7.254610997e-05,0.000000000e+00,1,1,0.316237235,-0.000003993,0.000010453,-0.833066432,0.513082181,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
0.075000,-0.000420000,-0.056584518,0.038791511,-0.310851000,-0.056584518,0.034888271,7.641081604e-05,0.000000000e+00,1,1,0.317726293,-0.000004380,0.000011412,-0.836096503,0.514249041,0.300000000,0.000000000,0.000000000,-0.800000000,0.500000000
